"snsname","snshandle","datetime","text","likes","comments","shares","postlink"
"Scottish Green Party","ScottishGreens","2021-03-18 15:10:00 CET","🛢️There are only nine years left to reverse climate breakdown. We need to leave fossil fuels in the ground. Only the Scottish Greens have the solutions to act now.",62,14,17,"https://www.facebook.com/17999726169/posts/10159155494146170"
"Scottish Green Party","ScottishGreens","2021-03-18 14:07:55 CET","🚨The Scottish election is only 7 weeks away!🚨 Join us, and help us to build a fairer, greener Scotland. https://members.greens.scot/join 💚🌈",27,1,1,"https://www.facebook.com/17999726169/posts/10159155440386170"
"Scottish Liberal Democrats","ScotLibDems","2021-03-18 13:32:36 CET","""I'm hopeful today will be different as MSPs examine what can be salvaged from a terrible Parliament from the perspective of the drugs deaths emergency"" Liam McArthur MSP",4,0,2,"https://www.facebook.com/397986050296687/posts/3848916348536956"
"Scottish Conservatives","ScottishConservatives","2021-03-18 13:09:41 CET","We won't get complacent for a second - but polls show that with your party vote on the peach ballot paper, we can stop an SNP majority and stop indyref2.",1349,303,104,"https://www.facebook.com/136308776480/posts/10157828124111481"
"Scottish Green Party","ScottishGreens","2021-03-18 12:58:00 CET","As we rebuild, social and environmental justice need to be at the heart of our recovery. Vote like our future depends on it. Vote for the Scottish Greens.💚",17,2,2,"https://www.facebook.com/17999726169/posts/10159155262341170"
"Scottish Green Party","ScottishGreens","2021-03-18 11:47:36 CET","Of course they did...",64,5,35,"https://www.facebook.com/17999726169/posts/10159155235356170"
"Scottish Green Party","ScottishGreens","2021-03-18 10:12:00 CET","🏴󠁧󠁢󠁳󠁣󠁴󠁿There are only seven weeks until the Scottish election!🏴󠁧󠁢󠁳󠁣󠁴󠁿 The next parliamentary term will decide how we rebuild from COVID and shape Scotland's response to the climate emergency. Vote like our future depends on it. #VoteScottishGreens 💚",23,2,3,"https://www.facebook.com/17999726169/posts/10159154122766170"
"Scottish Conservatives","ScottishConservatives","2021-03-18 09:48:12 CET","We have written to Ian Blackford demanding answers on the cover up of the Patrick Grady scandal 👇",1371,297,211,"https://www.facebook.com/136308776480/posts/10157827898746481"
"Scottish Green Party","ScottishGreens","2021-03-18 08:49:00 CET","🏴󠁧󠁢󠁳󠁣󠁴󠁿There is only 7 weeks until the Scottish election.🏴󠁧󠁢󠁳󠁣󠁴󠁿 We are asking you to vote like our future depends on it. Vote for the Scottish Greens.💚",98,39,8,"https://www.facebook.com/17999726169/posts/10159153345261170"
"Scottish Conservatives","ScottishConservatives","2021-03-17 21:16:13 CET","50 days to stop an SNP majority, stop indyref2, stop the cover ups, stop the lies, stop the deceit, stop the secrecy, stop the sleaze. 50 days to stop Nicola Sturgeon, stop Humza Yousaf and stop John Swinney from getting a majority and doing whatever they want. 50 days - lets go.",729,67,62,"https://www.facebook.com/136308776480/posts/10157826269516481"
"Scottish National Party (SNP)","theSNP","2021-03-17 20:58:53 CET","🚞 From 2022, ScotRail will be brought into public ownership. 📣 Michael Matheson MSP: ""This will provide stability and certainty for passengers and staff - and place the operations of ScotRail services in public hands."" 👉 Read the full statement here: https://www.snp.org/scotrail-to-be-in-public-hands/",1278,820,245,"https://www.facebook.com/77249349077/posts/10159337265719078"
